team1_adjde,team1_adjoe,team1_fg2pct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_rpi_rating,team1_seed,team1_tempo,team2_adjde,team2_arate,team2_fg3pct,team2_oe,team2_oppftpct,team2_seed,APRdiff,result
88,120,54,44,36,65,1,1,65,104,56,35,105,65,16,4,1
88,120,54,44,36,65,1,1,65,95,54,35,107,70,12,9,1
88,120,54,44,36,65,1,1,65,93,59,40,114,67,4,40,1
88,120,54,44,36,65,1,1,65,91,63,40,116,71,1,1,0
93,113,52,42,33,67,1,4,71,99,67,36,109,73,7,9,1
93,103,49,45,33,65,1,12,67,94,62,35,117,67,5,41,0
91,119,54,44,34,71,1,1,77,108,58,34,107,70,16,4,1
95,114,51,48,35,67,1,3,71,98,57,35,107,72,11,-9,1
93,113,55,47,34,68,1,6,60,93,56,37,112,70,3,-33,1
91,119,54,44,34,71,1,1,77,90,57,29,100,68,9,-23,1
95,114,51,48,35,67,1,3,71,96,61,42,116,69,2,-56,1
91,119,54,44,34,71,1,1,77,93,48,36,112,72,5,-53,1
101,111,50,49,33,68,1,11,67,93,61,37,112,68,6,2,0
95,115,54,43,33,68,1,4,67,100,61,36,111,70,13,-3,0
98,118,53,51,34,70,1,1,74,93,59,40,114,67,4,-30,0
93,113,55,47,34,68,1,6,60,90,56,34,108,69,2,-47,0
95,114,51,48,35,67,1,3,71,88,67,39,118,65,1,-24,0
98,112,55,46,33,67,1,8,64,96,59,38,112,71,9,85,1
100,125,53,47,37,69,1,2,72,98,55,30,100,67,15,80,1
92,107,48,46,34,69,1,7,64,97,47,35,104,67,10,-1,1
98,112,55,46,33,67,1,8,64,98,61,39,115,70,1,112,0
92,107,48,46,34,69,1,7,64,96,61,42,116,69,2,-19,0
100,118,54,46,35,67,1,3,68,95,62,36,105,66,14,28,1
90,110,52,45,33,69,1,2,68,93,59,35,110,67,7,50,1
90,110,52,45,33,69,1,2,68,94,62,35,117,67,5,-27,0
96,112,49,44,36,70,1,4,65,91,61,34,101,64,13,-67,1
96,119,53,49,35,69,1,2,68,93,49,30,98,69,15,57,1
96,114,58,44,32,72,0,14,62,95,57,40,112,67,3,-42,0
96,116,54,43,37,65,1,5,65,95,54,35,107,70,12,-37,0
92,102,50,43,31,70,1,9,68,88,67,39,118,65,1,-31,0
96,112,49,44,36,70,1,4,65,95,54,35,107,70,12,-22,0
100,111,49,46,32,70,1,13,66,94,62,35,117,67,5,21,0
100,113,48,48,36,65,0,10,64,99,67,36,109,73,7,81,0
94,114,53,42,32,67,1,3,68,93,59,37,100,70,14,-5,0
93,115,53,45,32,67,1,4,67,93,48,36,112,72,5,-97,0
90,111,50,41,31,67,1,2,71,106,66,37,109,67,15,-43,1
93,114,47,43,32,72,1,5,66,97,58,39,114,70,12,111,1
91,109,47,48,30,68,1,6,63,93,59,37,100,70,14,-26,1
94,118,55,47,35,67,1,5,66,90,49,38,113,71,1,-29,1
100,101,52,46,36,69,0,15,67,90,56,34,108,69,2,16,0
94,106,49,46,32,68,1,9,69,90,49,38,113,71,1,-65,0
90,111,50,41,31,67,1,2,71,97,60,37,112,70,10,-33,0
91,109,47,48,30,68,1,6,63,91,63,40,116,71,1,1,0
94,118,55,47,35,67,1,5,66,91,63,40,116,71,1,2,0
98,108,50,49,35,72,1,11,72,99,57,36,110,69,6,73,1
99,112,53,49,36,73,1,7,64,100,55,40,117,69,2,-79,1
99,112,53,49,36,73,1,7,64,95,59,38,108,67,6,-39,1
95,111,50,45,35,67,1,10,68,93,59,35,110,67,7,57,0
102,109,53,48,36,73,1,13,66,93,56,39,114,67,4,59,0
88,101,49,48,32,71,1,8,67,90,57,29,100,68,9,-85,0
100,111,47,50,32,72,1,7,71,97,60,37,112,70,10,16,0
99,110,53,45,39,73,1,11,66,91,56,39,106,68,6,23,0
95,108,50,46,37,67,1,6,71,100,57,38,116,67,3,-42,1
97,111,49,44,32,69,1,8,69,92,60,27,103,70,9,21,0
110,114,48,51,36,73,1,14,71,93,56,37,112,70,3,51,0
97,106,50,49,36,66,1,13,69,93,59,40,114,67,4,-68,0
89,107,50,43,32,66,1,5,71,95,58,36,109,66,12,7,1
107,103,47,51,38,65,1,16,61,90,49,38,113,71,1,-74,0
89,107,50,43,32,66,1,5,71,93,59,40,114,67,4,40,0
97,114,52,47,35,70,1,10,66,91,56,39,106,68,6,-26,0
101,91,45,47,30,66,1,16,73,108,58,34,107,70,16,-21,0
96,106,50,49,33,68,1,11,71,95,59,38,108,67,6,-23,0
102,99,51,48,33,70,1,16,70,98,61,39,115,70,1,62,0
94,105,46,44,38,71,1,8,69,94,55,34,105,68,9,41,0
94,119,54,46,30,67,1,1,71,92,56,32,107,69,4,69,0
92,114,56,44,32,66,1,3,69,98,55,37,109,69,14,48,1
92,116,51,42,31,71,1,1,71,103,54,38,106,69,16,-24,1
94,117,51,42,32,71,1,2,67,94,58,32,104,72,15,-48,1
94,117,51,42,32,71,1,2,67,97,63,37,111,71,10,-16,1
94,117,51,42,32,71,1,2,67,98,69,35,110,72,6,16,1
91,112,54,45,33,70,1,2,63,103,51,36,114,69,3,5,1
92,116,51,42,31,71,1,1,71,97,54,37,112,75,5,-1,1
92,114,56,44,32,66,1,3,69,97,66,36,112,69,7,-53,1
91,112,54,45,33,70,1,2,63,90,54,35,109,70,1,49,1
91,112,54,45,33,70,1,2,63,92,56,32,107,69,4,62,1
92,114,56,44,32,66,1,3,69,91,58,35,109,70,2,-48,1
93,108,49,44,31,67,1,5,67,102,64,37,112,72,12,45,0
94,117,51,42,32,71,1,2,67,92,56,32,107,69,4,28,0
92,116,51,42,31,71,1,1,71,92,57,36,107,68,11,-11,0
100,117,54,46,37,69,1,4,65,102,64,37,112,72,12,50,1
94,108,51,47,33,66,1,8,71,94,56,39,115,67,1,-24,0
92,105,50,43,32,70,1,9,63,90,54,35,109,70,1,67,0
100,117,54,46,37,69,1,4,65,92,50,37,113,67,1,-53,0
99,106,50,47,34,67,1,14,70,86,64,34,99,65,3,35,1
92,116,44,46,34,67,1,1,67,97,64,34,96,70,16,57,1
91,105,48,46,28,66,1,9,64,94,60,36,110,66,8,45,0
87,109,51,38,35,68,1,4,69,90,63,34,102,74,13,22,0
92,113,53,47,31,67,1,2,66,97,66,36,112,69,7,-68,0
99,106,50,47,34,67,1,14,70,98,69,35,110,72,6,60,0
92,116,44,46,34,67,1,1,67,92,62,39,114,66,3,76,0
96,110,48,45,34,68,1,7,63,96,54,33,101,69,10,23,1
91,111,50,43,35,67,1,5,66,96,55,36,106,76,12,17,1
97,113,51,49,32,75,1,5,72,92,59,36,110,69,4,-13,1
96,110,48,45,34,68,1,7,63,97,59,39,111,68,2,89,1
99,108,53,45,33,69,0,13,66,100,68,37,114,69,4,34,0
97,110,56,49,33,73,1,13,57,92,59,36,110,69,4,26,0
99,110,49,49,33,67,1,11,67,92,58,39,105,71,6,-21,0
95,103,50,44,31,69,1,14,65,94,64,37,111,71,3,-26,0
91,111,50,43,35,67,1,5,66,90,63,34,102,74,13,-52,0
92,106,54,43,32,68,1,11,64,98,64,37,110,70,6,-20,1
92,111,50,43,34,69,1,4,69,90,70,36,104,71,12,12,1
92,106,54,43,32,68,1,11,64,94,64,37,111,71,3,-7,1
92,106,54,43,32,68,1,11,64,96,62,37,107,68,7,1,1
99,109,51,48,34,74,1,13,72,92,56,32,107,69,4,45,0
95,102,49,46,32,74,1,15,66,97,59,39,111,68,2,107,0
103,113,54,46,35,67,1,12,63,97,54,37,112,75,5,-33,0
93,107,52,44,33,71,1,10,61,97,66,36,112,69,7,-21,0
92,106,54,43,32,68,1,11,64,92,62,39,114,66,3,28,0
94,111,51,43,39,66,1,8,69,92,63,39,105,70,9,-79,0
89,102,45,45,30,71,1,11,62,98,69,35,110,72,6,20,0
90,104,49,44,34,71,1,12,66,97,59,34,103,70,5,-57,1
96,106,48,49,32,69,1,11,68,99,59,36,108,74,6,19,1
98,113,51,48,32,68,1,8,66,97,59,34,105,70,9,13,1
97,111,55,46,31,71,1,10,67,97,56,37,106,73,7,-1,1
98,108,51,44,32,69,1,14,65,103,51,36,114,69,3,16,0
100,105,48,48,35,69,1,16,69,90,54,35,109,70,1,58,0
96,106,48,49,32,69,1,11,68,92,62,39,114,66,3,-1,0
98,113,51,48,32,68,1,8,66,92,55,37,113,71,1,-18,0
97,95,48,43,32,67,1,16,68,94,56,39,115,67,1,-24,0
107,107,56,49,34,71,1,15,72,91,58,35,109,70,2,29,0
105,109,51,47,36,67,1,15,68,92,59,36,111,67,2,98,0
90,105,48,45,31,74,1,13,69,90,54,35,109,70,1,43,0
94,108,48,50,35,73,1,8,69,95,54,35,106,70,9,-15,1
94,108,48,50,35,73,1,8,69,92,50,37,113,67,1,-60,0
97,95,50,44,32,70,1,16,66,100,51,32,96,66,16,96,1
92,106,51,50,31,71,1,6,68,103,51,36,114,69,3,-12,0
99,109,50,47,35,68,0,10,65,96,57,40,107,69,7,5,1
99,109,50,47,35,68,0,10,65,91,58,35,109,70,2,-33,0
90,117,54,45,34,69,1,1,65,104,54,38,106,66,16,18,1
87,112,53,41,32,67,1,1,69,108,53,34,108,68,16,63,1
90,113,51,42,31,68,1,2,71,102,46,38,106,70,15,3,1
90,117,54,45,34,69,1,1,65,98,60,39,115,68,9,-68,1
87,112,53,41,32,67,1,1,69,95,60,35,108,65,8,59,1
90,113,51,42,31,68,1,2,71,101,59,41,114,72,7,-10,1
87,112,53,41,32,67,1,1,69,89,55,37,104,70,4,49,1
90,113,51,42,31,68,1,2,71,90,57,36,113,69,1,18,0
90,117,54,45,34,69,1,1,65,93,55,41,118,66,1,-10,0
93,118,59,46,29,66,1,1,67,108,54,32,99,66,16,7,1
93,118,59,46,29,66,1,1,67,97,56,37,115,69,5,-46,1
93,118,59,46,29,66,1,1,67,98,53,39,113,69,3,-56,1
89,113,51,44,34,66,0,2,63,96,56,36,111,70,7,42,0
101,116,52,45,31,72,1,7,67,95,60,34,108,70,10,-19,1
96,110,49,47,34,70,1,7,67,98,53,37,112,70,10,-25,1
90,118,55,45,34,67,1,1,74,96,50,40,104,70,5,92,1
98,112,55,47,32,66,1,11,66,98,53,39,113,69,3,-13,0
97,115,50,44,33,69,1,5,59,95,61,35,107,66,12,-1,1
95,115,51,46,31,73,1,3,63,96,52,35,103,71,14,19,1
97,115,50,44,33,69,1,5,59,90,60,39,108,69,4,17,1
89,107,50,46,35,70,1,4,60,96,50,36,109,66,5,5,1
101,114,48,50,36,69,1,11,65,95,67,38,112,73,3,14,0
92,119,58,43,30,71,1,2,60,100,61,36,107,70,15,-41,1
92,113,52,46,35,70,1,2,64,104,57,39,105,70,15,113,1
98,116,50,50,32,69,1,3,67,97,58,33,100,69,14,16,1
92,113,52,46,35,70,1,2,64,95,67,38,112,73,3,33,1
98,116,50,50,32,69,1,3,67,96,56,36,111,70,7,69,1
92,113,52,46,35,70,1,2,64,87,59,40,112,67,1,-32,1
92,119,58,43,30,71,1,2,60,90,59,36,116,67,1,-10,1
105,112,56,49,35,71,1,15,70,89,56,35,111,66,2,-42,0
92,113,52,46,35,70,1,2,64,93,55,41,118,66,1,49,0
92,119,58,43,30,71,1,2,60,90,57,36,113,69,1,36,0
93,117,53,42,29,71,1,3,66,100,64,36,109,71,14,-72,1
93,109,50,44,33,68,1,3,61,98,56,37,106,71,14,-38,1
100,115,52,48,34,69,1,8,68,98,60,39,115,68,9,10,0
93,101,47,43,38,71,1,13,62,89,55,37,104,70,4,-3,0
93,109,50,44,33,68,1,3,61,101,64,37,109,70,6,-80,0
93,117,53,42,29,71,1,3,66,90,52,35,113,68,2,-15,0
90,110,51,43,30,69,1,4,74,98,56,37,111,69,13,-52,1
100,119,48,44,36,69,1,4,70,99,52,39,107,71,13,93,1
95,111,49,45,35,69,1,8,68,92,69,38,107,68,9,-9,0
99,117,50,45,34,69,1,6,70,98,62,35,111,66,11,9,0
96,109,50,44,31,70,1,5,67,93,59,35,105,70,12,-30,1
96,109,50,44,31,70,1,5,67,100,51,39,115,69,4,-65,1
100,113,52,44,34,69,1,10,69,96,54,38,110,71,7,17,0
95,104,49,47,33,73,0,11,67,101,64,37,109,70,6,-39,0
93,111,50,44,33,67,1,6,66,93,65,42,115,71,3,29,0
108,106,46,52,36,68,1,16,69,108,56,36,101,69,16,32,1
96,111,51,52,35,73,1,5,73,105,50,38,111,72,12,-28,1
96,111,51,52,35,73,1,5,73,98,51,37,109,71,4,-34,1
91,110,51,46,32,71,1,6,66,101,53,40,114,69,11,35,0
93,111,46,45,35,70,0,9,67,95,60,35,108,65,8,49,0
92,109,51,42,32,68,1,9,61,90,59,36,116,67,1,8,0
96,111,51,52,35,73,1,5,73,90,57,36,113,69,1,-2,0
93,108,51,47,33,70,1,9,66,100,59,34,113,69,8,-55,1
96,110,50,46,35,66,1,5,66,89,62,35,103,69,12,-2,1
99,109,47,52,34,67,1,10,67,101,57,35,112,70,7,-16,0
103,100,56,52,36,67,1,16,62,90,59,36,116,67,1,-10,0
93,108,51,47,33,70,1,9,66,93,55,41,118,66,1,-25,0
98,110,48,44,35,71,1,4,71,101,55,37,107,71,13,-8,1
101,114,54,49,33,70,0,7,66,92,59,37,115,71,2,-1,0
96,114,49,46,31,71,1,7,64,92,55,37,111,70,2,-20,0
101,113,51,50,34,70,1,6,68,92,59,37,115,71,2,40,0
96,107,49,44,34,70,1,11,66,93,59,33,107,67,6,13,0
86,112,53,43,30,68,1,1,70,103,52,35,101,67,16,-9,1
86,112,53,43,30,68,1,1,70,92,51,33,105,68,8,22,1
86,112,53,43,30,68,1,1,70,94,66,37,110,67,5,-50,1
86,112,53,43,30,68,1,1,70,89,54,35,114,68,1,-33,1
86,112,53,43,30,68,1,1,70,90,61,40,118,68,1,-65,0
93,119,52,48,33,67,1,1,76,98,53,36,101,70,16,-9,1
93,119,52,48,33,67,1,1,76,94,59,37,112,72,4,-5,1
93,119,52,48,33,67,1,1,76,89,58,35,106,68,3,-24,1
89,116,52,45,33,68,1,1,65,104,52,34,93,66,16,38,1
90,121,55,41,33,68,0,1,69,98,60,33,106,67,8,80,1
89,116,52,45,33,68,1,1,65,94,60,39,115,68,3,-8,1
90,121,55,41,33,68,0,1,69,93,52,37,115,67,1,59,1
87,112,49,42,31,68,1,3,62,104,51,38,113,67,14,-15,1
96,113,51,48,32,66,1,7,60,100,61,37,113,67,10,48,1
96,116,52,50,31,67,1,2,73,105,55,41,107,73,15,-57,1
96,116,52,50,31,67,1,2,73,96,57,38,113,66,7,-55,1
95,119,49,43,33,69,1,2,65,103,59,38,109,69,15,-22,1
95,119,49,43,33,69,1,2,65,91,58,37,109,66,3,-24,1
95,119,49,43,33,69,1,2,65,86,56,35,113,68,1,9,0
91,115,52,47,33,67,1,2,74,105,62,36,110,70,15,-11,1
94,113,52,45,34,68,1,3,65,96,47,33,101,65,14,31,1
90,113,56,41,30,68,1,2,62,108,57,38,114,72,15,0,1
96,109,51,46,33,70,1,12,69,98,60,37,115,67,5,-5,1
96,109,51,46,33,70,1,12,69,96,55,34,99,67,13,-9,1
91,115,52,47,33,67,1,2,74,95,58,36,111,66,7,24,0
96,109,51,46,33,70,1,12,69,89,54,35,114,68,1,4,0
98,114,51,47,33,69,1,4,66,93,56,37,105,75,13,51,1
98,110,48,47,30,67,1,8,65,93,58,37,106,67,9,-9,1
92,113,53,47,35,63,1,10,68,96,54,37,111,65,7,25,1
91,112,48,42,33,66,1,3,64,92,56,36,109,68,6,-2,1
92,113,53,47,35,63,1,10,68,90,62,38,111,68,2,58,1
92,113,53,47,35,63,1,10,68,87,54,36,109,68,3,52,1
99,110,51,48,35,69,1,4,71,99,53,38,109,65,13,40,0
92,113,53,47,35,63,1,10,68,90,61,40,118,68,1,0,0
94,113,52,46,31,67,1,5,64,98,57,34,111,69,4,20,1
94,107,52,44,31,69,1,10,68,98,51,38,107,67,7,-14,0
92,111,49,47,30,68,1,6,69,97,54,37,103,71,11,-9,1
98,115,48,45,34,65,1,5,71,100,54,35,110,72,12,-13,1
92,109,51,42,34,66,1,9,65,91,65,37,105,71,8,-38,1
94,114,53,45,33,72,1,4,59,92,54,37,102,70,13,-40,1
95,110,50,45,36,66,1,7,66,97,62,40,109,70,10,16,1
89,110,54,43,30,68,1,3,67,103,60,39,110,71,14,3,1
94,114,53,45,33,72,1,4,59,98,67,40,113,65,5,-36,1
89,110,54,43,30,68,1,3,67,94,52,35,104,73,6,39,1
89,110,54,43,30,68,1,3,67,96,61,36,113,67,2,56,1
92,112,50,49,30,72,1,5,71,95,54,34,105,68,12,-56,0
92,109,51,42,34,66,1,9,65,89,54,35,114,68,1,-15,0
91,108,45,48,35,67,1,6,66,94,60,39,115,68,3,-76,0
95,110,50,45,36,66,1,7,66,94,60,39,115,68,3,-16,0
102,107,51,50,36,72,1,16,67,90,61,40,118,68,1,-47,0
92,105,53,40,32,68,1,8,69,102,56,39,113,69,9,-62,1
105,110,53,46,37,70,1,14,69,91,58,37,109,66,3,9,0
96,108,52,48,33,70,1,9,69,93,52,37,115,67,1,-35,0
98,110,46,44,36,67,1,7,68,95,48,38,114,69,2,20,0
96,100,49,48,34,67,1,13,65,97,56,36,110,68,4,42,1
99,111,53,46,36,72,1,12,66,94,66,37,110,67,5,-47,0
100,114,50,46,35,71,1,11,71,91,56,38,104,67,6,89,0
100,113,53,48,37,68,0,11,65,94,52,35,104,73,6,18,0
95,112,50,45,37,65,1,11,72,92,50,39,104,69,6,-6,1
95,107,48,49,36,68,1,12,69,99,53,38,109,65,13,50,1
95,112,50,45,37,65,1,11,72,87,54,36,109,68,3,-48,0
95,107,48,49,36,68,1,12,69,90,61,40,118,68,1,-15,0
104,93,42,49,35,66,1,16,64,98,53,36,101,70,16,-38,0
95,112,52,45,34,65,1,8,67,96,54,34,106,70,9,42,0
81,108,51,40,30,69,1,2,68,92,62,35,112,67,3,66,0
94,117,50,47,34,69,1,2,69,101,49,33,103,70,15,34,1
95,122,51,45,34,69,1,1,76,101,52,35,103,71,16,27,1
93,120,53,45,33,70,1,1,67,100,45,34,108,69,16,1,1
94,117,50,47,34,69,1,2,69,94,49,33,107,67,7,31,1
95,122,51,45,34,69,1,1,76,96,56,37,109,69,8,42,1
86,108,51,43,31,68,1,1,69,98,53,33,108,68,9,-7,1
92,112,53,47,30,67,1,3,72,97,58,35,113,67,6,-67,1
93,120,53,45,33,70,1,1,67,97,47,38,111,70,8,28,1
95,122,51,45,34,69,1,1,76,93,53,39,115,68,4,-16,1
95,122,51,45,34,69,1,1,76,96,53,35,114,69,2,12,1
95,122,51,45,34,69,1,1,76,92,56,35,110,68,3,-20,1
95,122,51,45,34,69,1,1,76,91,64,35,109,70,2,-40,1
92,112,53,47,30,67,1,3,72,88,57,34,112,70,1,-22,0
86,108,51,43,31,68,1,1,69,91,64,35,109,70,2,-49,0
96,117,57,43,34,69,1,2,69,98,46,34,102,69,15,83,1
88,112,51,41,30,70,1,1,67,98,52,36,108,69,9,-56,1
88,112,51,41,30,70,1,1,67,91,64,35,109,70,2,-70,0
93,115,53,39,35,68,0,4,68,95,54,33,101,70,13,25,1
92,112,50,45,34,68,1,3,69,99,56,37,105,73,14,-1,1
96,117,55,48,30,64,1,3,71,90,52,31,98,71,14,-22,1
93,115,53,39,35,68,0,4,68,102,53,38,110,69,12,2,1
92,112,50,45,34,68,1,3,69,96,56,40,116,70,6,12,1
91,111,49,47,32,70,1,2,66,92,50,33,105,71,10,76,1
